Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
2-pack Wool-blend Knee Socks,women,$17.99,N/A,Gray melange/black||Beige melange/gray melange,https://www2.hm.com/en_ca/productpage.0715424002.html,"https://lp2.hm.com/hmgoepprod?set=source[/be/4e/be4eef2d10d687348a0c914f5c33644c530aa6a1.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Socks,women,$14.99,N/A,Gray melange/patterned||Black/avocados,https://www2.hm.com/en_ca/productpage.0520427014.html,"https://lp2.hm.com/hmgoepprod?set=source[/16/2d/162dd6dd2795e80ee064d343f0276eab391d83d0.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Glittery Socks,women,$14.99,N/A,Black/glittery,https://www2.hm.com/en_ca/productpage.0925107001.html,"https://lp2.hm.com/hmgoepprod?set=source[/eb/ce/ebcecbc1d920dfa3568bb6b367fc94462be66392.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
7-pack Ankle Socks,women,$14.99,N/A,Powder pink||Black||Gray||Pink,https://www2.hm.com/en_ca/productpage.0372860068.html,"https://lp2.hm.com/hmgoepprod?set=source[/cf/d1/cfd18cbdb7dde758aed04320a28984dfb35a74fa.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
7-pack Socks,women,$14.99,N/A,White/dotted||Gray melange/dotted||Black/white dotted||Light gray melange/Friyay,https://www2.hm.com/en_ca/productpage.0683001019.html,"https://lp2.hm.com/hmgoepprod?set=source[/8c/c4/8cc46260322081b6ac15509c1c0ba6c7fc93e374.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
7-pack Ankle Socks,women,$14.99,N/A,Gray||Black||Powder pink||Pink,https://www2.hm.com/en_ca/productpage.0372860024.html,"https://lp2.hm.com/hmgoepprod?set=source[/7d/98/7d98f50ce6a487905cfcfeb2dd336ac794f6d6c5.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Socks,women,$14.99,N/A,Black/gold-colored||Black||Black/glittery||Black/glittery,https://www2.hm.com/en_ca/productpage.0608776026.html,"https://lp2.hm.com/hmgoepprod?set=source[/4a/11/4a11eb0f239f7f33b9daf54e110550a61e4115bb.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
7-pack Socks,women,$14.99,N/A,Light gray melange/Friyay||Gray melange/dotted||Black/white dotted||White/dotted,https://www2.hm.com/en_ca/productpage.0683001022.html,"https://lp2.hm.com/hmgoepprod?set=source[/2c/0c/2c0cb1340b89f95ea5f367c45d2e10607ffa5b34.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
7-pack Ankle Socks,women,$14.99,N/A,White/dotted||Light gray melange/patterned||White/Hearts||Brown/leopard print,https://www2.hm.com/en_ca/productpage.0631536026.html,"https://lp2.hm.com/hmgoepprod?set=source[/24/3d/243d204b587b648e740cbf17df08ce17e3a11fe4.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
5-pack Socks,women,$14.99,N/A,Black/glittery||Black||Black/gold-colored||Black/glittery,https://www2.hm.com/en_ca/productpage.0608776024.html,"https://lp2.hm.com/hmgoepprod?set=source[/03/93/0393bfb29388d645227724bc74a57d73b4b546f2.jpg],origin[dam],category[ladies_sockstights_socks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",socks,H&M
