Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Nike Elite Crew 'Xmas' Basketball Socks,Unisex,$18.00,N/A,University Red/Light Crimson/White || Clover/Gym Green/White, https://www.nike.com/ca/t/elite-crew-xmas-basketball-socks-4RGks3/CK6786-657, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/3e5e7611-0ecb-47d3-baf6-3df51bbf3634/elite-crew-xmas-basketball-socks-4RGks3.jpg,Socks,Nike
Nike Everyday Max Cushioned Training Ankle Socks (3 Pairs),Unisex,$24.00,N/A,Black/Anthracite/White, https://www.nike.com/ca/t/everyday-max-cushioned-training-ankle-socks-mKF27d/SX5549-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/acfb8014-76ef-4441-9c88-61dc64fbafc7/everyday-max-cushioned-training-ankle-socks-mKF27d.jpg,Socks,Nike
Nike Everyday Cushioned Training Crew Socks (3 Pairs),Unisex,$18.00,N/A,White/Black, https://www.nike.com/ca/t/everyday-cushioned-training-crew-socks-znMjdV/SX7664-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/htd8h7gxig9p8rjjl5ji/everyday-cushioned-training-crew-socks-znMjdV.jpg,Socks,Nike
Nike SNKR Sox Unisex Crew Socks (2 Pairs),Unisex,$22.00,N/A,Multi-Colour, https://www.nike.com/ca/t/snkr-sox-crew-socks-HTZXbP/DB5466-902, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/4813537c-3ef4-4ed3-8a3f-b9d6d9240a21/snkr-sox-crew-socks-HTZXbP.jpg,Socks,Nike
Nike Everyday Max Cushioned Training Crew Socks (3 Pairs),Unisex,$24.00,N/A,Black/Anthracite/White, https://www.nike.com/ca/t/everyday-max-cushioned-training-crew-socks-VrTWXJoD/SX5547-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/668f0776-9ce0-40a8-bb86-89b80fcb8bf8/everyday-max-cushioned-training-crew-socks-VrTWXJoD.jpg,Socks,Nike
Nike Everyday Cushioned Training Ankle Socks (3 Pairs),Unisex,$18.00,N/A,Black/White || Multi-Colour || White/Black, https://www.nike.com/ca/t/everyday-cushioned-training-ankle-socks-jlm914/SX7667-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/oio3xjx1ezmwz0rdl0n6/everyday-cushioned-training-ankle-socks-jlm914.jpg,Socks,Nike
Nike Sportswear SNEAKR Sox Crew Socks (2 Pairs),Unisex,$22.00,N/A,Multi-Colour, https://www.nike.com/ca/t/sportswear-sneakr-sox-crew-socks-z1nKSB/CK5607-902, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/d804c2cd-2a1b-46b1-8703-83e584e5da6d/sportswear-sneakr-sox-crew-socks-z1nKSB.jpg,Socks,Nike
Nike Everyday Cushioned Training No-Show Socks (3 Pairs),Unisex,$18.00,N/A,White/Black || Multi-Colour || Black/White, https://www.nike.com/ca/t/everyday-cushioned-training-no-show-socks-khhl4W/SX7673-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/nwajqg3y8p77wtyocdec/everyday-cushioned-training-no-show-socks-khhl4W.jpg,Socks,Nike
Nike Everyday Lightweight Training No-Show Socks (6 Pairs),Unisex,$24.00,N/A,White/Black || Black/White, https://www.nike.com/ca/t/everyday-lightweight-training-no-show-socks-9bTC0j/SX7679-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/3200bc5b-a09c-42a0-bbd2-7ff1e8ac93c8/everyday-lightweight-training-no-show-socks-9bTC0j.jpg,Socks,Nike
Nike SNEAKR Sox Ankle Socks (2 Pairs),Unisex,$22.00,N/A,Multi-Colour, https://www.nike.com/ca/t/sneakr-sox-ankle-socks-ZdlFmF/SK0262-902, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/e3fa8e7d-ce05-4a50-af2c-4ae2031c27a0/sneakr-sox-ankle-socks-ZdlFmF.jpg,Socks,Nike
