Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Nike Pro Men's Tights,Men,$42.00,N/A,Black/White || Smoke Grey/Light Smoke Grey/Black, https://www.nike.com/ca/t/pro-tights-qzJWsr/BV5641-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/zl3iubr40h7sjrubabs7/pro-tights-qzJWsr.jpg,Tights,Nike
Nike Pro Men's Short-Sleeve Top,Men,$48.00,N/A,Black/Black/White || Smoke Grey/Smoke Grey/Heather/Black, https://www.nike.com/ca/t/pro-short-sleeve-top-rsffjm/CJ4842-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/d47da01d-e830-4d1d-a2bf-b1d2c3690d30/pro-short-sleeve-top-rsffjm.jpg,Top,Nike
Nike Pro Men's Sleeveless Top,Men,$32.00,N/A,Smoke Grey/Light Smoke Grey/Black || Black/White || White/Black, https://www.nike.com/ca/t/pro-sleeveless-top-3p7GB2/BV5600-085, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/xye0c1v4poqol8mqmwro/pro-sleeveless-top-3p7GB2.jpg,Top,Nike
Nike Pro Men's 3/4 Tights,Men,$38.00,N/A,Smoke Grey/Light Smoke Grey/Black || Black/White, https://www.nike.com/ca/t/pro-3-4-tights-70ZTtJ/BV5643-085, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/swflporqiifk43li2ljj/pro-3-4-tights-70ZTtJ.jpg,Tights,Nike
Nike Pro Warm Men's Tights,Men,$64.00,N/A,Iron Grey/Iron Grey/Black || Black/Black/White, https://www.nike.com/ca/t/pro-warm-tights-PfvBPX/CU4961-068, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/07ff4f25-96fb-4b2c-9add-64321e2a653d/pro-warm-tights-PfvBPX.jpg,Tights,Nike
Nike Yoga Dri-FIT Men's Infinalon 3/4 Tights,Men,$80.00,N/A,Black/Iron Grey || Iron Grey/Black, https://www.nike.com/ca/t/yoga-dri-fit-infinalon-3-4-tights-Bd1wQl/CT1830-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/5e78f661-bc1d-474e-ae29-3a5876ef5ca5/yoga-dri-fit-infinalon-3-4-tights-Bd1wQl.jpg,Tights,Nike
Nike Pro AeroAdapt Men's Short-Sleeve Top,Men,$64.00,N/A,Black/Black || Pollen Rise/Pollen Rise, https://www.nike.com/ca/t/pro-aeroadapt-short-sleeve-top-zwVz7L/BV5510-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/smal1nkvbwsy83w2snmt/pro-aeroadapt-short-sleeve-top-zwVz7L.jpg,Top,Nike
Nike Pro Dri-FIT Men's 3/4 Basketball Tights,Men,$64.00,N/A,Black/Black, https://www.nike.com/ca/t/pro-dri-fit-3-4-basketball-tights-gnqcnS/925821-010, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/rsbpfotgdzxyiwbqpusb/pro-dri-fit-3-4-basketball-tights-gnqcnS.jpg,Tights,Nike
Nike Pro Men's Tank,Men,$42.00,N/A,White/Black || Black/Dark Grey || Smoke Grey/Light Smoke Grey/Heather/Black, https://www.nike.com/ca/t/pro-tank-ZxBmw8/CJ4609-100, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/psbpsammnsvxejclgwdb/pro-tank-ZxBmw8.jpg,Tank,Nike
Nike Yoga Dri-FIT Men's Infinalon Shorts,Men,$68.00,N/A,Iron Grey/Black || Black/Black || Galactic Jade/Black || Midnight Navy/Black || Deep Royal Blue/Black, https://www.nike.com/ca/t/yoga-dri-fit-infinalon-shorts-WrkPPP/CJ8018-068, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/74a6641a-2133-48d8-a616-801664e865da/yoga-dri-fit-infinalon-shorts-WrkPPP.jpg,Shorts,Nike
Nike Pro Men's Short-Sleeve Camo Top,Men,$42.00,N/A,Sequoia/Black || Black/Black, https://www.nike.com/ca/t/pro-short-sleeve-camo-top-3JCxzl/CU4093-355, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/36a7bda3-8e40-417e-9cdd-1c180c13fce0/pro-short-sleeve-camo-top-3JCxzl.jpg,Top,Nike
Nike Pro Warm Utility Men's Long-Sleeve Training Top,Men,$65.99,$84.00,Sequoia/Celadon/Black, https://www.nike.com/ca/t/pro-warm-utility-long-sleeve-training-top-mrpM9P/CU6743-355, https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/067e49b1-3eef-4ce6-8e60-2a0ff4e01a48/pro-warm-utility-long-sleeve-training-top-mrpM9P.jpg,Top,Nike
