Name,Gender,Price,Sale Price,Colors,Item Link,Image Link,Subcategory,Store
Rib-knit Hat,women,$12.99,N/A,Light gray||Cerise||Light pink,https://www2.hm.com/en_ca/productpage.0732409041.html,"https://lp2.hm.com/hmgoepprod?set=source[/07/7e/077e6a5cbf2d9d0ddb10beeaf185c0c84a4dfd03.jpg],origin[dam],category[ladies_accessories_hatscarvesgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Rib-knit Hat,women,$12.99,N/A,Cerise||Light gray||Light pink,https://www2.hm.com/en_ca/productpage.0732409048.html,"https://lp2.hm.com/hmgoepprod?set=source[/5b/6a/5b6ab380331bb15faf79933deffee9ac8fcf4364.jpg],origin[dam],category[ladies_accessories_hatscarvesgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Straw Hat,women,$17.99,N/A,Light beige,https://www2.hm.com/en_ca/productpage.0879021001.html,"https://lp2.hm.com/hmgoepprod?set=source[/c8/57/c857bd4b0cd22090f395f9a88a83cec44e0acb2c.jpg],origin[dam],category[ladies_accessories_hats_sunhats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Straw Hat,women,$17.99,N/A,Dark beige,https://www2.hm.com/en_ca/productpage.0835653002.html,"https://lp2.hm.com/hmgoepprod?set=source[/0b/1f/0b1feba12a0940a26ec9f1e560c5952603b06eeb.jpg],origin[dam],category[ladies_accessories_hats_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Straw Hat,women,$17.99,N/A,Beige/black,https://www2.hm.com/en_ca/productpage.0691704002.html,"https://lp2.hm.com/hmgoepprod?set=source[/7e/58/7e587dd9454d7fe01720c3bdfb3beb65eb23e569.jpg],origin[dam],category[ladies_accessories_hatsscarvesgloves_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Ribbed Hat,women,$12.99,N/A,Black||Gray melange||White,https://www2.hm.com/en_ca/productpage.0904450001.html,"https://lp2.hm.com/hmgoepprod?set=source[/30/94/3094d77510b0000b1f4ceb65cb02fa1f59b524c9.jpg],origin[dam],category[ladies_accessories_hats_beanies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",hat,H&M
Ribbed Hat,women,$12.99,N/A,White||Black||Gray melange,https://www2.hm.com/en_ca/productpage.0904450003.html,"https://lp2.hm.com/hmgoepprod?set=source[/f4/80/f48028e9f49fd1bbe7b529cdb4de83fd47139a34.jpg],origin[dam],category[ladies_accessories_hats_beanies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",hat,H&M
Ribbed Hat,women,$12.99,N/A,Gray melange||Black||White,https://www2.hm.com/en_ca/productpage.0904450002.html,"https://lp2.hm.com/hmgoepprod?set=source[/f5/59/f559b05e51bd241e7cda346bce5f983b34305fb1.jpg],origin[dam],category[ladies_accessories_hats_beanies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",hat,H&M
Straw Hat,women,$14.99,N/A,Natural/white,https://www2.hm.com/en_ca/productpage.0583933004.html,"https://lp2.hm.com/hmgoepprod?set=source[/b9/f1/b9f1ee59865a50c858e0646003a144baae05e0e2.jpg],origin[dam],category[ladies_accessories_hatscarvesgloves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",hat,H&M
Sunglasses,women,$59.99,N/A,Black,https://www2.hm.com/en_ca/productpage.0908250001.html,"https://lp2.hm.com/hmgoepprod?set=source[/f4/18/f41863040285a1ac036a9be36cca577cec5a54d5.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",sunglasses,H&M
